id,name,platform,eu_sales
12,Mario Kart DS,DS,8
14,Wii Fit,Wii,8
14,Wii Fit,Wii,8
12,Mario Kart DS,DS,8
20,Brain Age: Train Your Brain in Minutes a Day,DS,9
17,Grand Theft Auto V,PS3,9
15,Wii Fit Plus,Wii,9
8,Wii Play,Wii,9
7,New Super Mario Bros.,DS,9
5,Pokemon Red/Pokemon Blue,GB,9
20,Brain Age: Train Your Brain in Minutes a Day,DS,9
17,Grand Theft Auto V,PS3,9
15,Wii Fit Plus,Wii,9
8,Wii Play,Wii,9
7,New Super Mario Bros.,DS,9
5,Pokemon Red/Pokemon Blue,GB,9
11,Nintendogs,DS,11
11,Nintendogs,DS,11
4,Wii Sports Resort,Wii,11
4,Wii Sports Resort,Wii,11
3,Mario Kart Wii,Wii,13
3,Mario Kart Wii,Wii,13
1,Wii Sports,Wii,29
1,Wii Sports,Wii,29
